File	SMILES	HOMO (Ha)	LUMO (Ha)	GAP (eV)
Hc1cNcCCcNcOc1F_opt.log	c1c(N)c(C=C)c(N)c(O)c1(F)	-0.17663	0.00471	4.934515276
Hc1cNcNOO-cNOO-cCCc1CN_opt.log	c1c(N)c(N(=O)(=O))c(N(=O)(=O))c(C=C)c1(C#N)	-0.25719	-0.12526	3.590000001999999
Hc1cNcNOO-cHcFc1CN_opt.log	c1c(N)c(N(=O)(=O))cc(F)c1(C#N)	-0.25195	-0.11731	3.6637428960000005
Hc1cNcCcCOcCCc1O_opt.log	c1c(N)c(C)c(C=O)c(C=C)c1(O)	-0.20277	-0.04771	4.219399684
Hc1cOcHcCCcOc1CC_opt.log	c1c(O)cc(C=C)c(O)c1(C=C)	-0.20973	-0.02516	5.0224080980000005
Hc1cNcOcCCcCOc1CO_opt.log	c1c(N)c(O)c(C=C)c(C=O)c1(C=O)	-0.23767	-0.06004	4.833560982
Hc1cNcFcNcNOO-c1O_opt.log	c1c(N)c(F)c(N)c(N(=O)(=O))c1(O)	-0.21555	-0.06613	4.065927388
Hc1cNcCCcCcNc1CC_opt.log	c1c(N)c(C=C)c(C)c(N)c1(C=C)	-0.16635	-0.01106	4.225658306
Hc1cNcCNcOcNOO-c1O_opt.log	c1c(N)c(C#N)c(O)c(N(=O)(=O))c1(O)	-0.25733	-0.09003	4.5524672200000005
Hc1cNcNOO-cHcFc1F_opt.log	c1c(N)c(N(=O)(=O))cc(F)c1(F)	-0.24167	-0.09922	3.87626393
Hc1cOcHcCOcCNc1CN_opt.log	c1c(O)cc(C=O)c(C#N)c1(C#N)	-0.28248	-0.10236	4.901317368
Hc1cNcNOO-cFcHc1CC_opt.log	c1c(N)c(N(=O)(=O))c(F)cc1(C=C)	-0.23593	-0.09004	3.969871146000001
Hc1cNcFcNOO-cCc1NOO-_opt.log	c1c(N)c(F)c(N(=O)(=O))c(C)c1(N(=O)(=O))	-0.24691	-0.11379	3.6223815679999998
Hc1cNcCCcFcFc1CN_opt.log	c1c(N)c(C=C)c(F)c(F)c1(C#N)	-0.22935	-0.05695	4.69124536
Hc1cNcCCcCcFc1NOO-_opt.log	c1c(N)c(C=C)c(C)c(F)c1(N(=O)(=O))	-0.22218	-0.09056	3.581564468
Hc1cNcNcFcFc1CN_opt.log	c1c(N)c(N)c(F)c(F)c1(C#N)	-0.21921	-0.0267	5.238466614
Hc1cNcCOcFcCCc1CO_opt.log	c1c(N)c(C=O)c(F)c(C=C)c1(C=O)	-0.22184	-0.08714	3.6653755800000005
Hc1cNcCcNOO-cNOO-c1O_opt.log	c1c(N)c(C)c(N(=O)(=O))c(N(=O)(=O))c1(O)	-0.24438	-0.10046	3.916264688
